rosap_name,ror_id,ror_name
Purdue University,https://ror.org/02dqehb95,Purdue University West Lafayette
"University at Buffalo, SUNY",https://ror.org/01y64my43,"University at Buffalo, State University of New York"
Southwest Research Institute,https://ror.org/03tghng59,Southwest Research Institute
University of Washington,https://ror.org/00cvxb145,University of Washington
United States. Department of Transportation. National Highway Traffic Safety Administration. Office of Behavioral Safety Research,https://ror.org/04gcfqs37,National Highway Traffic Safety Administration: Office of Behavioral Safety Research
United States. Department of Transportation. Federal Aviation Administration. Civil Aerospace Medical Institute,https://ror.org/043e04s74,Civil Aerospace Medical Institute
United States. Department of Transportation. National Highway Traffic Safety Administration. Office of Vehicle Safety Research,https://ror.org/04gcfqs37,National Highway Traffice Safety Administration: Office of Vehicle Safety Research
United States. Department of Transportation. Federal Aviation Administration. Office of Aviation. Office of Aerospace Medicine,https://ror.org/05q0y0j38,Federal Aviation Administration: Office of Aerospace Medicine
United States. Department of Transportation. Federal Highway Administration. Office of Bridges and Structures,https://ror.org/0473rr271,Federal Highway Administration: Office of Bridges and Structures
United States. Federal Highway Administration. Office of Bridges and Structures,https://ror.org/0473rr271,Federal Highway Administration: Office of Bridges and Structures
United States. Department of Transportation. Office of Aviation Consumer Protection,https://ror.org/02xfw2e90,United States Department of Transportation: Office of Aviation Consumer Protection
National Library of Medicine (U.S.),https://ror.org/0060t0j89,United States National Library of Medicine
Cleveland Public Library,https://ror.org/02kybxa90,Cleveland Public Library
Georgetown University,https://ror.org/05vzafd60,Georgetown University
"University of California, Berkeley. Institute of Transportation Studies. Library",https://ror.org/01an7q238,"University of California, Berkeley"
John A. Volpe National Transportation Systems Center (U.S.),https://ror.org/04a2k6j28,Volpe National Transportation Systems Center
Northwestern University Transportation Library,https://ror.org/00m6w7z96,Northwestern University
University of Texas at Austin. Center for Transportation Research,https://ror.org/00hj54h04,The University of Texas at Austin
Portland Cement Association,https://ror.org/0253ddj72,Portland Cement Association
United States. Department of the Interior. Library,https://ror.org/03v0pmy70,United States Department of the Interior
MED-EL,https://ror.org/05e41x347,MED-EL (Austria)
"Applied Research Associates, Inc.",https://ror.org/04gmfhf08,Applied Research Associates
Wyoming. Department of Transportation. Research Center,https://ror.org/00pqdc111,Wyoming Department of Transportation
Minnesota Department of Transportation,https://ror.org/04p63s850,Minnesota Department of Transportation
"United States. Department of Transportation. Federal Highway Administration. Office of Research, Development, and Technology",https://ror.org/0473rr271,"Federal Highway Administration: Office of Research, Development and Technology"
Montana Department of Transportation Library,https://ror.org/00ys2za03,Montana Department of Transportation Library
Missouri Department of Transportation Library,https://ror.org/00ys2za03,Missouri Department of Transportation Library
Oklahoma Transportation Library,https://ror.org/02kd4pa08,Oklahoma Transportation Library
Minnesota. Department of Transportation. Library,https://ror.org/04p63s850,Minnesota Department of Transportation Library
Michigan Department of Transportation Library,https://ror.org/01kae7563,Michigan Department of Transportation Library
Bureau of Transportation Statistics,https://ror.org/05xfdey77,Bureau of Transportation Statistics
"Federal Highway Administration. Office of Research Development, and Technology",https://ror.org/0473rr271,"Federal Highway Administration: Office of Research, Development, and Technology"
Federal Highway Administration,https://ror.org/0473rr271,Federal Highway Administration
"Federal Highway Administration. Office of Research, Development, and Technology",https://ror.org/0473rr271,"Federal Highway Administration: Office of Research, Development, and Technology"
Georgia Tech,https://ror.org/01zkghx44,Georgia Institute of Technology
Oklahoma State University,https://ror.org/01g9vbr38,Oklahoma State University
U.S. Army Engineer Research and Development Center,https://ror.org/027mhn368,U.S. Army Engineer Research and Development Center
United States. Department of Transportation. Federal Highway Administration. Office of Infrastructure Research and Development,https://ror.org/0473rr271,"Federal Highway Administration: Office of Infrastructure, Research and Development"
SES Group and Associates,https://ror.org/02wvs7998,SES Group & Associates (United States)
United States. Federal Highway Administration. Office of Safety and Operations Research and Development,https://ror.org/0473rr271,"Federal Highway Administration: Office of Infrastructure, Research and Development"
Leidos,https://ror.org/012cvds63,Leidos (United States)
Syntek Technologies,https://ror.org/01rpq5x59,Syntek Technologies (United States)
"United States. Department of Transportation. Federal Highway Administration, Turner-Fairbank Highway Research Center",https://ror.org/0473rr271,Federal Highway Administration: Turner-Fairbank Highway Research Center
United States. Federal Highway Administration. Exploratory Advanced Research Program,https://ror.org/0473rr271,Federal Highway Administration: Exploratory Advanced Research Program
National Transportation Library,https://ror.org/00snbrd52,National Transportation Library
United States Department of Transportation,https://ror.org/02xfw2e90,United States Department of Transportation
United States. Department of Transportation. Office Public Affairs,https://ror.org/02xfw2e90,Department of Transportation: Office Public Affiars
North Carolina Department of Transportation,https://ror.org/02xmd8q53,North Carolina Department of Transportation
Texas A&M Transportation Institute,https://ror.org/0034eay46,Texas A&M Transportation Institute
District Department of Transportation,https://ror.org/02z9sft96,District Department of Transportation
Smart Growth America. National Complete Streets Coalition,https://ror.org/00cmk9h73,Smart Growth America: National Complete Streets Coalition
AARP (Organization),https://ror.org/02hbfck57,AARP
Swedish National Road and Transport Research Institute (VTI). Library and Information Centre (BIC),https://ror.org/04zmmpw58,Swedish National Road and Transport Research Institute
United States. Department of Transportation. Federal Highway Administration. Research Library,https://ror.org/0473rr271,Federal Highway Administration Research Library
North Carolina. Department of Transportation. Transportation Library,https://ror.org/02xmd8q53,North Carolina Department of Transportation Library
University of Wisconsin--Madison,https://ror.org/01y2jtd41,University of Wisconsin–Madison
United States. Department of Transportation. Federal Aviation Administration. Policy & Standards Division,https://ror.org/05q0y0j38,Federal Aviation Administration: Policy & Standards Division
"Air Force Research Laboratory (Wright-Patterson Air Force Base, Ohio)",https://ror.org/02e2egq70,United States Air Force Research Laboratory
